dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
bridge2algebra2006,3,concept,global_stack_concept_intercept,akt,valid,353631,229,cluster,0.820629,0.003704,0.806142,0.014487,0.012969,0.015941,0.001,0.006656,-0.002952,0.005997,0.819399,0.001231,0.000718,0.00174,0.001,0.004295,-0.000591,0.648676,0.015,True,0.041978999999999995,True,0.015,True,1.0,False
bridge2algebra2006,3,concept,linear_gating,akt,valid,353631,229,cluster,0.805279,0.040662,0.806142,-0.000863,-0.002589,0.000798,0.329835,0.006656,0.034006,0.001,0.819399,-0.01412,-0.015135,-0.013166,0.001,0.004295,0.036367,0.001,0.740631,False,0.015,True,0.015,True,0.015,True
bridge2algebra2006,4,concept,static_concept_weights,akt,valid,353631,229,cluster,0.821331,0.003642,0.806228,0.015103,0.013797,0.016399,0.001,0.009248,-0.005606,0.001,0.819331,0.002,0.001164,0.002867,0.001,0.0021,0.001542,0.198901,0.015,True,0.015,True,0.015,True,1.0,False
bridge2algebra2006,4,concept,global_stack_concept_intercept,akt,valid,353631,229,cluster,0.820861,0.002978,0.806228,0.014633,0.013092,0.016051,0.001,0.009248,-0.00627,0.001,0.819331,0.00153,0.001126,0.001926,0.001,0.0021,0.000878,0.522739,0.015,True,0.015,True,0.015,True,1.0,False
bridge2algebra2006,4,concept,linear_gating,akt,valid,353631,229,cluster,0.800877,0.030439,0.806228,-0.005351,-0.007399,-0.003553,0.001,0.009248,0.02119,0.001,0.819331,-0.018455,-0.019665,-0.017308,0.001,0.0021,0.028338,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,0,concept,static_concept_weights,akt,valid,536087,5497,cluster,0.778567,0.001786,0.772909,0.005659,0.005228,0.006091,0.001,0.014972,-0.013186,0.001,0.777844,0.000724,0.000453,0.000983,0.001,0.002034,-0.000248,0.57971,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,0,concept,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778573,0.002119,0.772909,0.005664,0.005281,0.006057,0.001,0.014972,-0.012852,0.001,0.777844,0.000729,0.000573,0.000889,0.001,0.002034,8.6e-05,0.943528,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,0,concept,linear_gating,akt,valid,536087,5497,cluster,0.771659,0.030577,0.772909,-0.00125,-0.001785,-0.000687,0.001,0.014972,0.015605,0.001,0.777844,-0.006185,-0.00657,-0.005813,0.001,0.002034,0.028543,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,1,concept,static_concept_weights,akt,valid,536087,5497,cluster,0.778928,0.003211,0.772772,0.006156,0.005692,0.006593,0.001,0.014931,-0.01172,0.001,0.778036,0.000893,0.00063,0.001175,0.001,0.002072,0.00114,0.09995,0.015,True,0.015,True,0.015,True,0.9994999999999999,False
assist2012,1,concept,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778692,0.002386,0.772772,0.00592,0.005497,0.006329,0.001,0.014931,-0.012545,0.001,0.778036,0.000657,0.000484,0.000832,0.001,0.002072,0.000314,0.691654,0.015,True,0.015,True,0.015,True,1.0,False
