dataset,fold,scheme,seed,auc,static_auc,lift_vs_static
bridge2algebra2006,0,attention,2,0.821224,0.821111,0.000113
bridge2algebra2006,0,moe,2,0.815856,0.821111,-0.005255
bridge2algebra2006,0,attention,3,0.821488,0.821111,0.000376
bridge2algebra2006,0,moe,3,0.815928,0.821111,-0.005184
bridge2algebra2006,0,attention,4,0.821388,0.821111,0.000277
bridge2algebra2006,0,moe,4,0.815604,0.821111,-0.005508
bridge2algebra2006,1,attention,0,0.823446,0.822941,0.000505
bridge2algebra2006,1,moe,0,0.818311,0.822941,-0.00463
bridge2algebra2006,1,attention,1,0.823546,0.822941,0.000605
bridge2algebra2006,1,moe,1,0.818267,0.822941,-0.004674
bridge2algebra2006,1,attention,2,0.82347,0.822941,0.000529
bridge2algebra2006,1,moe,2,0.816985,0.822941,-0.005956
bridge2algebra2006,1,attention,3,0.823513,0.822941,0.000572
bridge2algebra2006,1,moe,3,0.818885,0.822941,-0.004056
bridge2algebra2006,1,attention,4,0.823413,0.822941,0.000472
bridge2algebra2006,1,moe,4,0.817582,0.822941,-0.005359
bridge2algebra2006,2,attention,0,0.823445,0.822379,0.001065
bridge2algebra2006,2,moe,0,0.818047,0.822379,-0.004332
bridge2algebra2006,2,attention,1,0.823449,0.822379,0.00107
bridge2algebra2006,2,moe,1,0.818882,0.822379,-0.003497
bridge2algebra2006,2,attention,2,0.823372,0.822379,0.000993
bridge2algebra2006,2,moe,2,0.819123,0.822379,-0.003257
bridge2algebra2006,2,attention,3,0.82346,0.822379,0.001081
bridge2algebra2006,2,moe,3,0.817201,0.822379,-0.005179
bridge2algebra2006,2,attention,4,0.823273,0.822379,0.000894
bridge2algebra2006,2,moe,4,0.816892,0.822379,-0.005487
bridge2algebra2006,3,attention,0,0.820254,0.820311,-5.7e-05
bridge2algebra2006,3,moe,0,0.816534,0.820311,-0.003777
bridge2algebra2006,3,attention,1,0.820164,0.820311,-0.000148
bridge2algebra2006,3,moe,1,0.815567,0.820311,-0.004744
bridge2algebra2006,3,attention,2,0.82025,0.820311,-6.2e-05
