dataset,fold,subset,models_in_subset,aggregator,n_rows,auc,ece,brier,best_single_model,best_single_selected_on,best_single_auc,delta_auc,best_single_ece,delta_ece,best_single_brier,delta_brier,best_single_on_test_model,best_single_on_test_auc,best_single_on_test_ece,delta_auc_vs_test_best
assist2015,1,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,138458,0.699152,0.027099,0.178072,bkt,valid,0.698996,0.000155,0.00726,0.019838,0.177033,0.001039,bkt,0.698996,0.00726,0.000155
assist2015,1,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,138458,0.699434,0.028133,0.178091,bkt,valid,0.698996,0.000438,0.00726,0.020873,0.177033,0.001057,bkt,0.698996,0.00726,0.000438
assist2015,1,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,138458,0.698423,0.023188,0.177944,bkt,valid,0.698996,-0.000573,0.00726,0.015928,0.177033,0.00091,bkt,0.698996,0.00726,-0.000573
assist2015,1,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,138458,0.698862,nan,nan,bkt,valid,0.698996,-0.000134,0.00726,nan,0.177033,nan,bkt,0.698996,0.00726,-0.000134
assist2015,1,classical,"bkt,pfa,pfa_recency,elorasch",median,138458,0.694496,0.014222,0.178429,bkt,valid,0.698996,-0.0045,0.00726,0.006962,0.177033,0.001396,bkt,0.698996,0.00726,-0.0045
assist2015,1,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,134592,0.728483,0.006123,0.16989,dkt,valid,0.726292,0.002191,0.008552,-0.00243,0.170638,-0.000748,dkt,0.726292,0.008552,0.002191
assist2015,1,deep,"dkt,sakt,akt,simplekt",geometric_mean,134592,0.728526,0.005764,0.169863,dkt,valid,0.726292,0.002233,0.008552,-0.002788,0.170638,-0.000774,dkt,0.726292,0.008552,0.002233
assist2015,1,deep,"dkt,sakt,akt,simplekt",logit_mean,134592,0.728316,0.005855,0.169918,dkt,valid,0.726292,0.002023,0.008552,-0.002697,0.170638,-0.00072,dkt,0.726292,0.008552,0.002023
assist2015,1,deep,"dkt,sakt,akt,simplekt",rank_mean,134592,0.728098,nan,nan,dkt,valid,0.726292,0.001806,0.008552,nan,0.170638,nan,dkt,0.726292,0.008552,0.001806
assist2015,1,deep,"dkt,sakt,akt,simplekt",median,134592,0.727914,0.005275,0.16998,dkt,valid,0.726292,0.001622,0.008552,-0.003277,0.170638,-0.000657,dkt,0.726292,0.008552,0.001622
assist2015,2,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,138458,0.699187,0.026672,0.17803,bkt,valid,0.699136,5.2e-05,0.006997,0.019674,0.177004,0.001025,bkt,0.699136,0.006997,5.2e-05
assist2015,2,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,138458,0.699495,0.027296,0.17804,bkt,valid,0.699136,0.000359,0.006997,0.020298,0.177004,0.001036,bkt,0.699136,0.006997,0.000359
assist2015,2,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,138458,0.698403,0.022728,0.177915,bkt,valid,0.699136,-0.000732,0.006997,0.01573,0.177004,0.00091,bkt,0.699136,0.006997,-0.000732
assist2015,2,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,138458,0.69889,nan,nan,bkt,valid,0.699136,-0.000246,0.006997,nan,0.177004,nan,bkt,0.699136,0.006997,-0.000246
assist2015,2,classical,"bkt,pfa,pfa_recency,elorasch",median,138458,0.694566,0.013313,0.178402,bkt,valid,0.699136,-0.00457,0.006997,0.006316,0.177004,0.001398,bkt,0.699136,0.006997,-0.00457
assist2015,2,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,134592,0.729014,0.003635,0.169822,dkt,valid,0.727098,0.001915,0.010102,-0.006467,0.170562,-0.00074,dkt,0.727098,0.010102,0.001915
assist2015,2,deep,"dkt,sakt,akt,simplekt",geometric_mean,134592,0.729083,0.002938,0.169792,dkt,valid,0.727098,0.001985,0.010102,-0.007164,0.170562,-0.00077,dkt,0.727098,0.010102,0.001985
assist2015,2,deep,"dkt,sakt,akt,simplekt",logit_mean,134592,0.728745,0.006217,0.169891,dkt,valid,0.727098,0.001646,0.010102,-0.003884,0.170562,-0.000671,dkt,0.727098,0.010102,0.001646
assist2015,2,deep,"dkt,sakt,akt,simplekt",rank_mean,134592,0.728598,nan,nan,dkt,valid,0.727098,0.0015,0.010102,nan,0.170562,nan,dkt,0.727098,0.010102,0.0015
assist2015,2,deep,"dkt,sakt,akt,simplekt",median,134592,0.728485,0.005355,0.169902,dkt,valid,0.727098,0.001386,0.010102,-0.004747,0.170562,-0.00066,dkt,0.727098,0.010102,0.001386
assist2015,3,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,138458,0.699111,0.026045,0.177987,bkt,valid,0.698987,0.000124,0.008391,0.017654,0.177025,0.000962,bkt,0.698987,0.008391,0.000124
assist2015,3,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,138458,0.699449,0.026912,0.178,bkt,valid,0.698987,0.000462,0.008391,0.018521,0.177025,0.000975,bkt,0.698987,0.008391,0.000462
assist2015,3,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,138458,0.698243,0.022027,0.17789,bkt,valid,0.698987,-0.000744,0.008391,0.013636,0.177025,0.000865,bkt,0.698987,0.008391,-0.000744
assist2015,3,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,138458,0.698864,nan,nan,bkt,valid,0.698987,-0.000122,0.008391,nan,0.177025,nan,bkt,0.698987,0.008391,-0.000122
assist2015,3,classical,"bkt,pfa,pfa_recency,elorasch",median,138458,0.694641,0.013215,0.178356,bkt,valid,0.698987,-0.004345,0.008391,0.004824,0.177025,0.001331,bkt,0.698987,0.008391,-0.004345
assist2015,3,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,134592,0.728095,0.004987,0.169991,dkt,valid,0.726627,0.001468,0.010432,-0.005445,0.170593,-0.000602,dkt,0.726627,0.010432,0.001468
assist2015,3,deep,"dkt,sakt,akt,simplekt",geometric_mean,134592,0.728206,0.004052,0.169952,dkt,valid,0.726627,0.001579,0.010432,-0.00638,0.170593,-0.000641,dkt,0.726627,0.010432,0.001579
