dataset,subset,model,fold,n_rows,auc,ece,brier
ednet,classical,bkt,3,133974,0.6288348066858483,0.01829580415369511,0.2137440936475531
ednet,classical,bkt,4,133974,0.6290203968657238,0.017337429460445357,0.2137739643129821
ednet,classical,pfa,0,133974,0.6214153779354719,0.05035659448150741,0.21898338394318986
ednet,classical,pfa,1,133974,0.6225622159488332,0.04679515584699034,0.2188424047691496
ednet,classical,pfa,2,133974,0.621586911290673,0.04598558793692384,0.21814700843547152
ednet,classical,pfa,3,133974,0.6230092506143406,0.054660343562990904,0.21938176898359515
ednet,classical,pfa,4,133974,0.6219319725186118,0.047137673465629304,0.21854565159215572
ednet,classical,pfa_recency,0,133974,0.6241346004603662,0.06301039200996128,0.2217848379002126
ednet,classical,pfa_recency,1,133974,0.6231630529224153,0.07207523593891363,0.22426860580585037
ednet,classical,pfa_recency,2,133974,0.6236382703394487,0.0639790172196687,0.22214167740981777
ednet,classical,pfa_recency,3,133974,0.6248295130891547,0.06880521873298649,0.22297441027228793
ednet,classical,pfa_recency,4,133974,0.6242412385435085,0.0657458295882678,0.2224884968430971
ednet,classical,elorasch,0,133974,0.6414908645927855,0.04713869374072191,0.21395747846604157
ednet,classical,elorasch,1,133974,0.6409019835388158,0.04591004773791334,0.21380548165283236
ednet,classical,elorasch,2,133974,0.641586154258915,0.046839973732444994,0.21395958507652668
ednet,classical,elorasch,3,133974,0.6416008330031897,0.046882721719759615,0.2139699848026948
ednet,classical,elorasch,4,133974,0.6411087608689863,0.04574214228686552,0.21390175916328397
ednet,deep,dkt,0,132209,0.6064314236354715,0.0905559772784001,0.23078114025943772
ednet,deep,dkt,1,132209,0.6068414919883018,0.09143444167946205,0.2314024485944981
ednet,deep,dkt,2,132209,0.6065867286046989,0.08840070796995668,0.23017275345929553
