dataset,fold,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,n_concepts_fit,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
bridge2algebra2006,3,linear_gating,pfa_recency,valid,354262,229,cluster,-1,0.751457,0.020959,0.748474,0.002983,0.001449,0.00443,0.0,0.011135,0.009824,0.0,0.758437,-0.00698,-0.007974,-0.005914,0.0,0.007316,0.013643,0.0,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,4,static_concept_weights,pfa_recency,valid,354262,229,cluster,367,0.760462,0.004185,0.74841,0.012052,0.010124,0.014032,0.0,0.011269,-0.007084,0.0,0.758511,0.00195,0.000597,0.003443,0.012,0.006902,-0.002717,0.001,0.0,True,0.0,True,0.096,False,0.008,True
bridge2algebra2006,4,global_stack_concept_intercept,pfa_recency,valid,354262,229,cluster,367,0.75934,0.004386,0.74841,0.01093,0.009024,0.012915,0.0,0.011269,-0.006883,0.0,0.758511,0.000829,-0.000608,0.002329,0.24,0.006902,-0.002516,0.0,0.0,True,0.0,True,0.579,False,0.0,True
bridge2algebra2006,4,linear_gating,pfa_recency,valid,354262,229,cluster,-1,0.750657,0.020798,0.74841,0.002246,0.000681,0.003771,0.005,0.011269,0.009529,0.0,0.758511,-0.007855,-0.00885,-0.006839,0.0,0.006902,0.013896,0.0,0.01,True,0.0,True,0.0,True,0.0,True
assist2012,0,static_concept_weights,bkt,valid,542817,5497,cluster,208,0.698861,0.002642,0.680836,0.018024,0.016543,0.019408,0.0,0.008537,-0.005894,0.0,0.696544,0.002316,0.001775,0.002896,0.0,0.004652,-0.00201,0.019,0.0,True,0.0,True,0.0,True,0.19,False
assist2012,0,global_stack_concept_intercept,bkt,valid,542817,5497,cluster,208,0.69883,0.00428,0.680836,0.017993,0.016533,0.01935,0.0,0.008537,-0.004257,0.0,0.696544,0.002285,0.001815,0.002749,0.0,0.004652,-0.000373,0.558,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,0,linear_gating,bkt,valid,542817,5497,cluster,-1,0.687551,0.024809,0.680836,0.006714,0.005896,0.007442,0.0,0.008537,0.016272,0.0,0.696544,-0.008994,-0.009744,-0.00828,0.0,0.004652,0.020156,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,1,static_concept_weights,bkt,valid,542817,5497,cluster,207,0.698682,0.003355,0.680724,0.017958,0.016489,0.019342,0.0,0.008243,-0.004888,0.0,0.696577,0.002105,0.001519,0.002707,0.0,0.00398,-0.000624,0.54,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,1,global_stack_concept_intercept,bkt,valid,542817,5497,cluster,207,0.698924,0.003748,0.680724,0.018199,0.016728,0.019583,0.0,0.008243,-0.004495,0.0,0.696577,0.002347,0.001854,0.002831,0.0,0.00398,-0.000231,0.845,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,1,linear_gating,bkt,valid,542817,5497,cluster,-1,0.687035,0.02511,0.680724,0.006311,0.005453,0.007069,0.0,0.008243,0.016867,0.0,0.696577,-0.009542,-0.010347,-0.008787,0.0,0.00398,0.021131,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,2,static_concept_weights,bkt,valid,542817,5497,cluster,208,0.698471,0.004077,0.680908,0.017563,0.016096,0.018969,0.0,0.00762,-0.003543,0.0,0.696493,0.001977,0.001228,0.002711,0.0,0.003988,9e-05,0.797,0.0,True,0.0,True,0.0,True,1.0,False
