dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
algebra2005,2,static_concept_weights,"dkt,sakt,akt,simplekt",146472,134674,101,0.931982,0.004561,0.087472,0.926624,0.015585,0.091357,0.930254,0.005551,0.088618,simplekt,valid,simplekt,0.922659,0.029509,0.094508,0.005358,0.009323,0.001728,-0.011025,-0.024948,-0.000991
algebra2005,2,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",146472,134674,101,0.930499,0.005265,0.088339,0.926624,0.015585,0.091357,0.930254,0.005551,0.088618,simplekt,valid,simplekt,0.922659,0.029509,0.094508,0.003875,0.007839,0.000245,-0.01032,-0.024244,-0.000286
algebra2005,2,linear_gating,"dkt,sakt,akt,simplekt",146472,134674,-1,0.927246,0.034117,0.093149,0.926624,0.015585,0.091357,0.930254,0.005551,0.088618,simplekt,valid,simplekt,0.922659,0.029509,0.094508,0.000622,0.004587,-0.003008,0.018531,0.004608,0.028565
algebra2005,3,static_concept_weights,"dkt,sakt,akt,simplekt",139259,134674,103,0.932104,0.002634,0.087274,0.92682,0.012038,0.090827,0.930304,0.001564,0.088465,simplekt,valid,simplekt,0.923337,0.029115,0.09361,0.005284,0.008767,0.0018,-0.009404,-0.026481,0.00107
algebra2005,3,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",139259,134674,103,0.930767,0.002366,0.088086,0.92682,0.012038,0.090827,0.930304,0.001564,0.088465,simplekt,valid,simplekt,0.923337,0.029115,0.09361,0.003947,0.00743,0.000463,-0.009673,-0.026749,0.000802
algebra2005,3,linear_gating,"dkt,sakt,akt,simplekt",139259,134674,-1,0.927625,0.031136,0.092215,0.92682,0.012038,0.090827,0.930304,0.001564,0.088465,simplekt,valid,simplekt,0.923337,0.029115,0.09361,0.000806,0.004289,-0.002679,0.019097,0.002021,0.029572
algebra2005,4,static_concept_weights,"dkt,sakt,akt,simplekt",130601,134674,97,0.931189,0.002393,0.088172,0.926522,0.01037,0.09107,0.929469,0.002459,0.089255,dkt,valid,simplekt,0.920485,0.006696,0.093475,0.004668,0.010704,0.00172,-0.007977,-0.004303,-6.6e-05
algebra2005,4,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",130601,134674,97,0.929999,0.001815,0.088909,0.926522,0.01037,0.09107,0.929469,0.002459,0.089255,dkt,valid,simplekt,0.920485,0.006696,0.093475,0.003478,0.009514,0.00053,-0.008556,-0.004882,-0.000645
algebra2005,4,linear_gating,"dkt,sakt,akt,simplekt",130601,134674,-1,0.92506,0.021112,0.093308,0.926522,0.01037,0.09107,0.929469,0.002459,0.089255,dkt,valid,simplekt,0.920485,0.006696,0.093475,-0.001462,0.004574,-0.00441,0.010742,0.014416,0.018653
bridge2algebra2006,0,static_concept_weights,"dkt,sakt,akt,simplekt",277809,353631,346,0.821111,0.003242,0.103722,0.815386,0.012555,0.105607,0.820759,0.003129,0.10412,simplekt,valid,simplekt,0.808154,0.008748,0.107026,0.005725,0.012958,0.000352,-0.009314,-0.005506,0.000113
