dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2015,3,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112027,138458,3818,0.709029,0.698987,0.010042,0.00862,0.011571,0.0,0.004663,0.008391,-0.003728,-0.005487,0.0,0.051,0.0,True,1.0,False
assist2015,4,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112375,138458,3818,0.706652,0.699203,0.00745,0.006091,0.008905,0.0,0.006304,0.007015,-0.000711,-0.004433,0.001577,0.392,0.0,True,1.0,False
assist2015,4,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112375,138458,3818,0.706653,0.699203,0.007451,0.006091,0.008906,0.0,0.006251,0.007015,-0.000764,-0.004443,0.001589,0.385,0.0,True,1.0,False
assist2015,4,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112375,138458,3818,0.699203,0.699203,0.0,0.0,0.0,1.0,0.007015,0.007015,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2015,4,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112375,138458,3818,0.710193,0.699203,0.01099,0.009422,0.012622,0.0,0.005249,0.007015,-0.001765,-0.004384,0.001366,0.255,0.0,True,1.0,False
assist2015,4,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112375,138458,3818,0.707827,0.699203,0.008624,0.007265,0.010104,0.0,0.009008,0.007015,0.001993,-0.002749,0.005084,0.523,0.0,True,1.0,False
assist2017,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,153980,178823,341,0.654452,0.639886,0.014566,0.011663,0.017449,0.0,0.010235,0.028824,-0.018589,-0.020433,-0.014671,0.0,0.0,True,0.0,True
assist2017,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,153980,178823,341,0.654628,0.639886,0.014742,0.011851,0.0176,0.0,0.011103,0.028824,-0.017722,-0.019887,-0.014219,0.0,0.0,True,0.0,True
assist2017,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,153980,178823,341,0.639886,0.639886,-0.0,-0.0,0.0,0.43,0.028824,0.028824,0.0,0.0,0.0,0.022,1.0,False,0.10999999999999999,False
assist2017,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,153980,178823,341,0.66205,0.639886,0.022165,0.019553,0.024767,0.0,0.008557,0.028824,-0.020268,-0.023004,-0.014854,0.0,0.0,True,0.0,True
