dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2012,0,question,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778572,0.002149,0.772909,0.005664,0.00528,0.006056,0.001,0.014961,-0.012812,0.001,0.777844,0.000729,0.000572,0.000889,0.001,0.002019,0.00013,0.948526,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,0,question,linear_gating,akt,valid,536087,5497,cluster,0.771663,0.030543,0.772909,-0.001245,-0.00178,-0.000683,0.001,0.014961,0.015582,0.001,0.777844,-0.00618,-0.006565,-0.005807,0.001,0.002019,0.028524,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,1,question,static_concept_weights,akt,valid,536087,5497,cluster,0.778928,0.003226,0.772772,0.006156,0.005692,0.006593,0.001,0.014935,-0.011708,0.001,0.778036,0.000893,0.00063,0.001174,0.001,0.002064,0.001163,0.09995,0.015,True,0.015,True,0.015,True,0.9994999999999999,False
assist2012,1,question,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778757,0.002213,0.772772,0.005985,0.005572,0.006398,0.001,0.014935,-0.012722,0.001,0.778036,0.000722,0.000554,0.000892,0.001,0.002064,0.000149,0.721639,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,1,question,linear_gating,akt,valid,536087,5497,cluster,0.771395,0.029257,0.772772,-0.001377,-0.001909,-0.000834,0.001,0.014935,0.014322,0.001,0.778036,-0.00664,-0.007017,-0.006264,0.001,0.002064,0.027193,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,2,question,static_concept_weights,akt,valid,536087,5497,cluster,0.778502,0.002746,0.771735,0.006767,0.006301,0.00727,0.001,0.014769,-0.012024,0.001,0.777755,0.000747,0.00047,0.001019,0.001,0.001825,0.000921,0.546727,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,2,question,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778388,0.001736,0.771735,0.006653,0.006202,0.007092,0.001,0.014769,-0.013033,0.001,0.777755,0.000633,0.000468,0.000806,0.001,0.001825,-8.9e-05,0.655672,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,2,question,linear_gating,akt,valid,536087,5497,cluster,0.770879,0.034378,0.771735,-0.000855,-0.001389,-0.000291,0.001999,0.014769,0.019608,0.001,0.777755,-0.006876,-0.007264,-0.006501,0.001,0.001825,0.032553,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,3,question,static_concept_weights,akt,valid,536087,5497,cluster,0.778609,0.002641,0.771509,0.007101,0.006619,0.007572,0.001,0.014137,-0.011495,0.001,0.777817,0.000792,0.000532,0.001056,0.001,0.001666,0.000975,0.145927,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,3,question,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778362,0.001863,0.771509,0.006853,0.006403,0.007282,0.001,0.014137,-0.012274,0.001,0.777817,0.000545,0.000379,0.000723,0.001,0.001666,0.000197,0.803598,0.015,True,0.015,True,0.015,True,1.0,False
